date,title,album,lyricist,hungama_id,provider,genre,actor_list,language,singers,shortUrl,keywords
1975,Sa Re Ga Ma,Chupke Chupke,{'Anand Bakshi'},1853259,hungama,,"{'Mohammed Rafi', 'Kishore Kumar'}",Hindi,"{'Mohammed Rafi', 'Kishore Kumar'}",https://www.hungama.com/song/sa-re-ga-ma/1853259/,"{'Sa Re Ga Ma', 'Chupke Chupke', 'Kishore Kumar', 'Anand Bakshi', 'Mohammed Rafi'}"
1957,Gana Na Aaya,Miss Mary,{'Rajendra Krishan'},1954174,hungama,,{'Kishore Kumar'},Hindi,{'Kishore Kumar'},https://www.hungama.com/song/gana-na-aaya/1954174/,"{'Miss Mary', 'Gana Na Aaya', 'Kishore Kumar', 'Rajendra Krishan'}"
1961,Ge Ge Geli Zara Timbaktu Kathmandu,Jhumroo,{'Majrooh Sultanpuri'},1848687,hungama,,{'Kishore Kumar'},Hindi,{'Kishore Kumar'},https://www.hungama.com/song/ge-ge-geli-zara-timbaktu-kathmandu/1848687/,"{'Jhumroo', 'Majrooh Sultanpuri', 'Kishore Kumar', 'Ge Ge Geli Zara Timbaktu Kathmandu'}"
1999,Akashave,Abhijith,{'R. N. Jayagopal'},393956,hungama,,{'K.S. Chitra'},Kannada,{'K.S. Chitra'},https://www.hungama.com/song/akashave/393956/,"{'Abhijith', 'K.S. Chitra', 'Akashave', 'R. N. Jayagopal'}"
1996,Ee Sundara,Amruthavarshini,{'K. Kalyan'},399627,hungama,,"{'Chitra', 'S. P. Balasubrahmanyam'}",Kannada,"{'Chitra', 'S. P. Balasubrahmanyam'}",https://www.hungama.com/song/ee-sundara/399627/,"{'Ee Sundara', 'Amruthavarshini', 'K. Kalyan', 'Chitra', 'S. P. Balasubrahmanyam'}"
1990,Kadalanaaluva Alegale,Anantha Prema,{'Hamsalekha'},2172029,hungama,,"{'Poornima', 'Mano'}",Kannada,"{'Poornima', 'Mano'}",https://www.hungama.com/song/kadalanaaluva-alegale/2172029/,"{'Poornima', 'Anantha Prema', 'Kadalanaaluva Alegale', 'Hamsalekha', 'Mano'}"
1992,O Kogile Naa,Chaitrada Premanjali,{'Folk'},1440962,hungama,,{'S. P. Balasubrahmanyam'},Kannada,{'S. P. Balasubrahmanyam'},https://www.hungama.com/song/o-kogile-naa/1440962/,"{'Chaitrada Premanjali', 'Folk', 'O Kogile Naa', 'S. P. Balasubrahmanyam'}"
1999,Megha Banthu Megha,Mannina Doni,{'Hamsalekha'},399194,hungama,,{'Dr. Rajkumar'},Kannada,{'Dr. Rajkumar'},https://www.hungama.com/song/megha-banthu-megha/399194/,"{'Hamsalekha', 'Mannina Doni', 'Dr. Rajkumar', 'Megha Banthu Megha'}"
1990,Gaaliyo Gaaliyo,Shanthi Kranthi,{'Hamsalekha'},1441326,hungama,,{'S. Janaki'},Kannada,{'S. Janaki'},https://www.hungama.com/song/gaaliyo-gaaliyo/1441326/,"{'Gaaliyo Gaaliyo', 'S. Janaki', 'Hamsalekha', 'Shanthi Kranthi'}"
1999,Titanic Heroine,Snehaloka,{'Hamsalekha'},1422619,hungama,,{'Sonu Nigam'},Kannada,{'Sonu Nigam'},https://www.hungama.com/song/titanic-heroine/1422619/,"{'Titanic Heroine', 'Hamsalekha', 'Snehaloka', 'Sonu Nigam'}"
1995,Manju Manju,Urvashi,{'Bhuvanachandra'},399183,hungama,,"{'Chitra', 'Rajesh Krishna'}",Kannada,"{'Chitra', 'Rajesh Krishna'}",https://www.hungama.com/song/manju-manju/399183/,"{'Manju Manju', 'Bhuvanachandra', 'Rajesh Krishna', 'Urvashi', 'Chitra'}"
